id;category_id;name;price
1;1884;MISC;0
2;3;Sản phẩm Loyalty ;0
5251;4741;Bộ dụng cụ làm móng;105000
10372;4637;HANDY-Dụng cụ cắt băng dính;240000
10373;4741;AKACHAN-Miếng dán chống côn trùng 48 miếng;239000
10374;4741;SET cốc sứ nhiều mầu;56000
10375;4408;Set 2 bat sứ có nắp đậy;85000
10376;4407;Côc sứ;85000
10377;4741;TAKEHISA-Côc sứ;85000
10378;4741;TAKEHISA-Bát sứ;105000
10379;4741;TAKEHISA-Set 4 đĩa sứ;180000
10380;4741;TATSUYA KAWAGOE-côc sứ;150000
10381;4741;MAPBLE WARE-Tông đơ cắt tóc;240000
10382;4741;ECHO- Bấm móng tay mini;30000
10383;4741;Bộ dụng cụ chăm sóc móng tay & chân;105000
10384;4741;Bộ dụng cụ làm móng;125000
10385;4741;KIRIBAI-Vòng đuổi muỗi cho người lớn màu xanh lá cây;207000
10386;4507;KAI-Bấm móng tay 001;190000
10387;4507;KAI-Bấm móng tay 001 màu đen;200000
10388;4507;KAI-Bấm móng tay 005;210000
10389;4507;KAI-Bấm móng tay HC 0718;190000
10390;4605;PIGEON-Hộp làm ấm giấy ướt;626000
10391;4428;MITSUBISHI-Cặp pin tiểu;24000
10392;4741;PANASONIC-Cặp pin tiểu size 3;15000
10393;4741;MITSUBISHI-Cặp pin tiểu size 4;15000
10394;4645;YAMADA KAGAKU- Tủ đựng tài liệu;950000
10395;4420;PANASONIC- Pin cỡ đại (LR20XJ/4SW);110000
10396;4420;PANASONIC- Pin cỡ trung (LR14XJ/4SW);75000
10397;4420;PANASONIC- Pin tiểu (LR6XJ/8SW);57600
10398;4420;PANASONIC- Pin cực tiểu (LR03XJ/8SW);58000
10399;4428;PANASONIC- Cặp pin tiểu size 3;30000
10400;4741;PANASONIC-Cặp pin tiểu size 4;30000
10401;4682;KOBAYASHI-Dụng cụ lấy tưa lưỡi ngừoi lớn;99000
10402;4741;KOBAYASHI-Miếng lót ngăn mồ hôi vùng dưới da (10 miếng);169000
10403;4741;ROCOCO- Ghế thư giãn các mầu;1650000
10404;4741;NASKING TAPE- Dụng cụ cắt băng dính nanomini;140000
10405;4741;Giấy dán tường 8913;140000
10406;4741;Giấy dán tường 8925;140000
10407;4741;Giấy dán tường 8935;140000
10408;4741;Giấy dán tường 8936;140000
10409;4741;Giấy dán tường 8937;140000
10410;4741;Giấy dán tường 8946;140000
10411;4741;Giấy dán tường 8955;140000
10412;4741;Giấy dán tường 8956;140000
10413;4741;Giấy dán tường 8957;140000
10414;4741;Giấy dán tường 8958;140000
10415;4741;Ghế thư giãn 400x500x470;340000
10416;4741;Ghế thư giãn Natulle;850000
10417;4741;INOMATA-hộp đựng gắn nam châm các mầu;25000
10418;4741;Ô CANDY COLLECTION các màu;135000
10419;1804;PAMPER-Gói nhỏ size S M;10000
10420;1804;PAMPER-GóI nhỏ size L XL;15000
10421;1804;MERRIES-Bỉm gói lẻ;50000
10422;1804;GOON-Bỉm gói lẻ;50000
10423;4565;Khay ăn hình máy bay;510000
10424;1528;MEIJI 9-Sữa thanh màu xanh gói nhỏ;10000
10425;4429;Đai ghế ngồi Totseat;590000
10426;1528;Glico gói 5 túi;50000
10427;1804;Bim gói lẻ các size;20000
10428;1804;Bỉm gói lẻ các size;30000
10429;76;Hồ bơi có mái che 157cm x 157cm x 122cm Sản phẩm ko sử dụng;1100000
10430;4741;Mũ bảo hiểm cho bé BH-2RD mầu xanh vàng;375000
10431;4741;Mũ bảo hiểm cho bé BH-2RD mầu xanh đen;375000
10432;4741;yếm ăn trẻ em Rhythm hình gấu;95000
10433;4741;Địu JouJou (50825);580000
10434;4741;Yếm ăn màu đỏ;220000
10435;4741;Yếm ăn màu đen;220000
10436;4741;yếm ăn kẻ sọc (KA-1597);100000
10437;4732;Giầy bông giữ ẩm;160000
10438;4602;Địu JouJou kẻ sọc xanh;600000
10439;4741;PIGEON BABY NAIL CLIPPERS;204000
10440;4741;Khay ăn hình ô tô màu đỏ;359000
10441;4741;Khay ăn hình tàu siêu tốc;429000
10442;4741;Khay ăn hình ô tô màu xanh;509000
10443;4568;Yếm ăn silicon Halloween mầu xanh;210000
10444;4568;Yếm ăn silicon mầu xanh;280000
10445;4741;Yếm ăn silicon Halloween mầu hồng đậm;210000
10446;4741;Yếm ăn silicon mầu hồng;280000
10447;4741;Yếm ăn silicon Halloween màu hồng;210000
10448;4564;EDISON Đũa tập ăn;231000
10449;4561;EDISON-Gặm nướu hình quả chuối;168000
10450;4566;EDISON-Cốc tập uống màu hồng;100000
10451;4566;EDISON-Cốc tập uống màu vàng;100000
10452;4565;EDISON-Bát ăn 3 ngăn màu hồng;224000
10453;4565;EDISON-Bát ăn 3 ngăn màu vàng;224000
10454;4682;EDISON-Dụng cụ lấy tưa lưỡi màu cam;114000
10455;4564;EDISON- Thìa dĩa nhựa màu hồng;122000
10456;4564;EDISON-Thìa dĩa nhựa màu vàng;116000
10457;4564;EDISON-Thìa dĩa inox;208000
10458;4565;EDISON-Bộ bát và cốc cho bé tập ăn;728000
10459;4568;YASHAM-yếm ăn cho bé các màu;205000
10460;4741;Hộp bông ngoáy tai;45000
10461;4568;Yếm ăn I love papa&mama;190000
10462;4741;Giấy ướt 24pcs;50000
10463;4605;SMART ANGEL- Ghế ngồi cho bé hình gấu màu vàng;260000
10464;4604;ELV- Ghế ăn cho bé màu Navy;980000
10465;4605;Nôi rung màu nâu (từ 0 - 18 tháng);2100000
10466;4605;Nôi rung (từ 0 - 12 tháng);1700000
10467;4604;Ghế ngồi cho bé hình gấu mầu nâu;260000
10468;4741;Nôi rung màu xanh (từ 0 - 18 tháng);2100000
10469;4568;Yếm ăn cặp đôi With Miffy;299000
10470;4741;Thẻ chống virut;139000
10471;4561;EDISON- Gặm nướu hươu cao cổ;221000
10472;4741;Miếng dán đuổi côn trùng;50000
10473;4604;Ghế ăn cho bé màu đen;980000
10474;4605;Nôi rung (từ 0 - 18 tháng);2500000
10475;4741;KAO-Kem đánh răng hương bạc hà 70g;71000
10476;4741;Hộp chia sữa;50000
10477;76;WAKADO-Giấy ướt 80 tờ - khong su dung ;36000
10478;4386;NOMATTO- Máy Tinh dầu đuổi muỗi (90 ngày)   ;360000
10479;4578;SARATEKUTO- Lăn chống côn trùng 50ml;131000
10480;76;GENKI-Bim M58 Sản phẩm ko sử dụng;310000
10481;76;Genki Diapers L Tape Sản phẩm ko sử dụng;350000
10482;76;GENKI-Bỉm L54 Sản phẩm ko sử dụng;310000
10483;76;Genki Diapers M Tape Sản phẩm ko sử dụng;350000
10484;76;GENKI-Bỉm M64 Sản phẩm ko sử dụng;310000
10485;76;Genki Diapers S Tape Sản phẩm ko sử dụng;350000
10486;76;GENKI-Bim S82 Sản phẩm ko sử dụng;310000
10487;76;Genki Diapers L Pants Sản phẩm ko sử dụng;350000
